"";"key";"numDMI";"Criterio"
"126";"0013a20040ebac90";"AA0258";"sin datos 1 mes"
"127";"0013a20040ebac92";"AA0259";"sin datos 1 mes"
"128";"0013a20040ebca55";"AA0261";"sin datos 1 mes"
"129";"0013a20040ebca35";"AA0262";"sin datos 1 mes"
"130";"0013a20040ebca33";"AA0263";"sin datos 1 mes"
"131";"0013a20040ebca58";"AA0267";"sin datos 1 mes"
"132";"0013a20040ebca5b";"AA0268";"sin datos 1 mes"
"133";"0013a20040ebca4f";"AA0269";"sin datos 1 mes"
"134";"0013a20040ebca12";"AA0272";"sin datos 1 mes"
"135";"0013a20040ebca08";"AA0276";"sin datos 1 mes"
"136";"0013a20040ebca14";"AA0278";"sin datos 1 mes"
"137";"0013a20040ebca0e";"AA0279";"sin datos 1 mes"
"138";"0013a20040ebca16";"AA0280";"sin datos 1 mes"
"139";"0013a20040ebca0b";"AA0282";"sin datos 1 mes"
"140";"0013a20040ebca06";"AA0284";"sin datos 1 mes"
"141";"0013a20040ebc9e7";"AA0286";"sin datos 1 mes"
"142";"0013a20040ebc937";"AA0287";"sin datos 1 mes"
"143";"0013a20040ebc8b7";"AA0289";"sin datos 1 mes"
"144";"0013a20040ebc92c";"AA0292";"sin datos 1 mes"
"145";"0013a20040ebc9eb";"AA0295";"sin datos 1 mes"
"146";"0013a20040ebc9f8";"AA0297";"sin datos 1 mes"
"147";"0013a20040ebc9fc";"AA0298";"sin datos 1 mes"
"148";"0013a20040ebc9fe";"AA0301";"sin datos 1 mes"
"149";"0013a20040ebc9e2";"AA0304";"sin datos 1 mes"
"150";"0013a20040ebc9ee";"AA0305";"sin datos 1 mes"
"151";"0013a20040ebc9fd";"AA0307";"sin datos 1 mes"
"152";"0013a20040ebc8ba";"AA0308";"sin datos 1 mes"
"153";"0013a20040ebc9e5";"AA0309";"sin datos 1 mes"
"154";"0013a20040ebc9e4";"AA0310";"sin datos 1 mes"
"155";"0013a20040ebc962";"AA0314";"sin datos 1 mes"
"156";"0013a20040ebc965";"AA0315";"sin datos 1 mes"
"157";"0013a20040ebc95e";"AA0316";"sin datos 1 mes"
"158";"0013a20040ebca02";"AA0317";"sin datos 1 mes"
"159";"0013a20040ebc97a";"AA0318";"sin datos 1 mes"
"160";"0013a20040ebc967";"AA0324";"sin datos 1 mes"
"161";"0013a20040ebc983";"AA0325";"sin datos 1 mes"
"162";"0013a20040ebc949";"AA0326";"sin datos 1 mes"
"163";"0013a20040ebc94b";"AA0332";"sin datos 1 mes"
"164";"0013a20040ebc945";"AA0335";"sin datos 1 mes"
"165";"0013a20040ebc88f";"AA0337";"sin datos 1 mes"
"166";"0013a20040ebca2c";"AA0340";"sin datos 1 mes"
"167";"0013a20040ebc8b3";"AA0342";"sin datos 1 mes"
"168";"0013a20040ebca2b";"AA0344";"sin datos 1 mes"
"169";"0013a20040ebca26";"AA0349";"sin datos 1 mes"
"170";"0013a20040ebca25";"AA0350";"sin datos 1 mes"
"171";"0013a20040ebca19";"AA0351";"sin datos 1 mes"
"172";"0013a20040ebca23";"AA0352";"sin datos 1 mes"
"173";"0013a20040ebca20";"AA0356";"sin datos 1 mes"
"174";"0013a20040ebca2a";"AA0357";"sin datos 1 mes"
"175";"0013a20040ebc88b";"AA0361";"sin datos 1 mes"
"176";"0013a20040ebc88c";"AA0364";"sin datos 1 mes"
"177";"0013a20040ebc89d";"AA0365";"sin datos 1 mes"
"178";"0013a20040ebc88d";"AA0366";"sin datos 1 mes"
"179";"0013a20040ebc9e8";"AA0371";"sin datos 1 mes"
"180";"0013a20040ebc944";"AA0372";"sin datos 1 mes"
"181";"0013a20040ebc938";"AA0373";"sin datos 1 mes"
"182";"0013a20040ebc935";"AA0376";"sin datos 1 mes"
"183";"0013a20040ebc982";"AA0381";"sin datos 1 mes"
"184";"0013a20040ebc986";"AA0383";"sin datos 1 mes"
"185";"0013a20040ebc947";"AA0385";"sin datos 1 mes"
"186";"0013a20040ebc8cb";"AA0387";"sin datos 1 mes"
"187";"0013a20040ebc8c3";"AA0389";"sin datos 1 mes"
"188";"0013a20040ebc8d5";"AA0391";"sin datos 1 mes"
"189";"0013a20040ebc8d2";"AA0393";"sin datos 1 mes"
"190";"0013a20040ebc8ca";"AA0394";"sin datos 1 mes"
"191";"0013a20040ebc8c7";"AA0395";"sin datos 1 mes"
"192";"0013a20040ebc8db";"AA0398";"sin datos 1 mes"
"193";"0013a20040ebc8dc";"AA0399";"sin datos 1 mes"
"194";"0013a20040ebc8d9";"AA0400";"sin datos 1 mes"
"195";"0013a20040ebc9de";"AA0407";"sin datos 1 mes"
"196";"0013a20040ebc9f4";"AA0409";"sin datos 1 mes"
"197";"0013a20040ebc9f3";"AA0410";"sin datos 1 mes"
"198";"0013a20040ebca42";"AA0411";"sin datos 1 mes"
"199";"0013a20040ebca3d";"AA0413";"sin datos 1 mes"
"200";"0013a20040ebca34";"AA0414";"sin datos 1 mes"
"201";"0013a20040ebca46";"AA0415";"sin datos 1 mes"
"202";"0013a20040ebca45";"AA0416";"sin datos 1 mes"
"203";"0013a20040ebca53";"AA0417";"sin datos 1 mes"
"204";"0013a20040ebca50";"AA0419";"sin datos 1 mes"
"205";"0013a20040ebc8c1";"AA0424";"sin datos 1 mes"
"206";"0013a20040ebca3f";"AA0425";"sin datos 1 mes"
"207";"0013a20040ebca03";"AA0426";"sin datos 1 mes"
"208";"0013a20040ebca52";"AA0428";"sin datos 1 mes"
"209";"0013a20040ebcd6d";"AA0430";"sin datos 1 mes"
"210";"0013a20040ebca37";"AA0431";"sin datos 1 mes"
"211";"0013a20040ebc8ce";"AA0433";"sin datos 1 mes"
"212";"0013a20040ebc97f";"AA0437";"sin datos 1 mes"
"213";"0013a20040ebc966";"AA0442";"sin datos 1 mes"
"214";"0013a20040ebca01";"AA0444";"sin datos 1 mes"
"215";"0013a20040ebc8d7";"AA0446";"sin datos 1 mes"
"216";"0013a20040ebc8de";"AA0447";"sin datos 1 mes"
"217";"0013a20040ebc8d6";"AA0448";"sin datos 1 mes"
"218";"0013a20040ebc97c";"AA0450";"sin datos 1 mes"
"219";"0013a20040ebc8c5";"AA0451";"sin datos 1 mes"
"220";"0013a20040ebca32";"AA0453";"sin datos 1 mes"
"221";"0013a20040ebc957";"AA0456";"sin datos 1 mes"
"222";"0013a20040ebca31";"AA0457";"sin datos 1 mes"
"223";"0013a20040ebca59";"AA0461";"sin datos 1 mes"
"224";"0013a2004102e86f";"AA0462";"sin datos 1 mes"
"225";"0013a2004102e86c";"AA0463";"sin datos 1 mes"
"226";"0013a2004102e86d";"AA0466";"sin datos 1 mes"
"227";"0013a2004102e86a";"AA0468";"sin datos 1 mes"
"228";"0013a2004102e868";"AA0470";"sin datos 1 mes"
"229";"0013a2004102e85f";"AA0471";"sin datos 1 mes"
"230";"0013a2004102e881";"AA0472";"sin datos 1 mes"
"231";"0013a2004102e884";"AA0473";"sin datos 1 mes"
"232";"0013a2004102e873";"AA0474";"sin datos 1 mes"
"233";"0013a2004102e874";"AA0475";"sin datos 1 mes"
"234";"0013a2004102e889";"AA0477";"sin datos 1 mes"
"235";"0013a2004102e872";"AA0478";"sin datos 1 mes"
"236";"0013a2004102e875";"AA0480";"sin datos 1 mes"
"237";"0013a2004102e871";"AA0482";"sin datos 1 mes"
"238";"0013a2004102e877";"AA0485";"sin datos 1 mes"
"239";"0013a20040ebcd39";"AA0487";"sin datos 1 mes"
"240";"0013a20040ebcd6f";"AA0495";"sin datos 1 mes"
"241";"0013a20040ebcd6b";"AA0496";"sin datos 1 mes"
"242";"0013a20040ebcc86";"AA0497";"sin datos 1 mes"
"243";"0013a20040ebcc84";"AA0498";"sin datos 1 mes"
"244";"0013a20040ebcc83";"AA0500";"sin datos 1 mes"
"245";"0013a20040ebcd60";"AA0501";"sin datos 1 mes"
