key;numDMI;Criterio
0013a20040ebca50;AA0419;sin datos 1 mes
0013a20040ebc8c1;AA0424;sin datos 1 mes
0013a20040ebca3f;AA0425;sin datos 1 mes
0013a20040ebca03;AA0426;sin datos 1 mes
0013a20040ebca52;AA0428;sin datos 1 mes
0013a20040ebcd6d;AA0430;sin datos 1 mes
0013a20040ebca37;AA0431;sin datos 1 mes
0013a20040ebc8ce;AA0433;sin datos 1 mes
0013a20040ebc97f;AA0437;sin datos 1 mes
0013a20040ebc966;AA0442;sin datos 1 mes
0013a20040ebca01;AA0444;sin datos 1 mes
0013a20040ebc8d7;AA0446;sin datos 1 mes
0013a20040ebc8de;AA0447;sin datos 1 mes
0013a20040ebc8d6;AA0448;sin datos 1 mes
0013a20040ebc97c;AA0450;sin datos 1 mes
0013a20040ebc8c5;AA0451;sin datos 1 mes
0013a20040ebca32;AA0453;sin datos 1 mes
0013a20040ebc957;AA0456;sin datos 1 mes
0013a20040ebca31;AA0457;sin datos 1 mes
0013a20040ebca59;AA0461;sin datos 1 mes
0013a2004102e86f;AA0462;sin datos 1 mes
0013a2004102e86c;AA0463;sin datos 1 mes
0013a2004102e86d;AA0466;sin datos 1 mes
0013a2004102e86a;AA0468;sin datos 1 mes
0013a2004102e868;AA0470;sin datos 1 mes
0013a2004102e85f;AA0471;sin datos 1 mes
0013a2004102e881;AA0472;sin datos 1 mes
0013a2004102e884;AA0473;sin datos 1 mes
0013a2004102e873;AA0474;sin datos 1 mes
0013a2004102e874;AA0475;sin datos 1 mes
0013a2004102e889;AA0477;sin datos 1 mes
0013a2004102e872;AA0478;sin datos 1 mes
0013a2004102e875;AA0480;sin datos 1 mes
0013a2004102e871;AA0482;sin datos 1 mes
0013a2004102e877;AA0485;sin datos 1 mes
0013a20040ebcd39;AA0487;sin datos 1 mes
0013a20040ebcd6f;AA0495;sin datos 1 mes
0013a20040ebcd6b;AA0496;sin datos 1 mes
0013a20040ebcc86;AA0497;sin datos 1 mes
0013a20040ebcc84;AA0498;sin datos 1 mes
0013a20040ebcc83;AA0500;sin datos 1 mes
0013a20040ebcd60;AA0501;sin datos 1 mes
0013a20040ebcd67;AA0503;sin datos 1 mes
0013a20040ebcc8b;AA0504;sin datos 1 mes
0013a20040ebcd6e;AA0505;sin datos 1 mes
0013a20040ebcd6c;AA0507;sin datos 1 mes
0013a20040ebcd6a;AA0508;sin datos 1 mes
0013a20040ebcd66;AA0509;sin datos 1 mes
0013a20040ebcd62;AA0510;sin datos 1 mes
0013a20040ebc899;AA0518;sin datos 1 mes
0013a20040ebc894;AA0519;sin datos 1 mes
0013a20040ebb02b;AA0521;sin datos 1 mes
0013a20040ebc897;AA0524;sin datos 1 mes
0013a20040ebb01b;AA0527;sin datos 1 mes
0013a20040ebb024;AA0528;sin datos 1 mes
0013a20040ebb025;AA0529;sin datos 1 mes
0013a20040ebb023;AA0530;sin datos 1 mes
0013a20040ebb020;AA0531;sin datos 1 mes
0013a20040ebae7d;AA0538;sin datos 1 mes
0013a20040ebaf28;AA0540;sin datos 1 mes
0013a20040ebaf2c;AA0542;sin datos 1 mes
0013a20040ebaf27;AA0543;sin datos 1 mes
0013a20040ebaf3c;AA0544;sin datos 1 mes
0013a20040ebaf48;AA0546;sin datos 1 mes
0013a20040ebaf5d;AA0550;sin datos 1 mes
0013a20040ebaff3;AA0553;sin datos 1 mes
0013a20040ebaff0;AA0554;sin datos 1 mes
0013a20040ebafe5;AA0555;sin datos 1 mes
0013a20040ebafe6;AA0556;sin datos 1 mes
0013a20040ebxxxx;AA0557;sin datos 1 mes
0013a20040ebxxxx;AA0558;sin datos 1 mes
0013a20040ebxxxx;AA0560;sin datos 1 mes
0013a20040ebxxxx;AA0562;sin datos 1 mes
0013a20040ebccce;AA0563;sin datos 1 mes
0013a20040ebccb8;AA0566;sin datos 1 mes
0013a20040ebcccb;AA0568;sin datos 1 mes
0013a20040ebcccc;AA0569;sin datos 1 mes
0013a20040ebccbe;AA0576;sin datos 1 mes
0013a20040ebcce0;AA0581;sin datos 1 mes
0013a20040ebcce3;AA0587;sin datos 1 mes
0013a20040ebccdf;AA0588;sin datos 1 mes
0013a20040ebccdb;AA0589;sin datos 1 mes
0013a20040ebccfb;AA0590;sin datos 1 mes
0013a20040ebccec;AA0591;sin datos 1 mes
0013a20040ebcce6;AA0592;sin datos 1 mes
0013a20040ebcce7;AA0593;sin datos 1 mes
0013a20040ebcce4;AA0594;sin datos 1 mes
0013a20040ebccdc;AA0595;sin datos 1 mes
0013a20040ebccfd;AA0598;sin datos 1 mes
0013a20040ebcce8;AA0600;sin datos 1 mes
0013a20040ebccef;AA0601;sin datos 1 mes
0013a20040ebccf4;AA0603;sin datos 1 mes
0013a20040ebccf5;AA0605;sin datos 1 mes
0013a20040ebccfc;AA0607;sin datos 1 mes
0013a20040ebcced;AA0608;sin datos 1 mes
0013a20040ebcce2;AA0609;sin datos 1 mes
0013a20040ebxxxx;AA0612;sin datos 1 mes
0013a20040ebaf65;AA0614;sin datos 1 mes
